CRN,Date,Day,Time,Hr,Shift,UCC,PGrp,Ugrp,Location,City,RD,Neighborhood,Pct,Beat,Nature_of_Call
170320090, 3/20/17,Mo,12:53,12,Day,2204,BURG,RB,"2010 E PRESIDENT ST #2204, SAV",Savannah,2310X,Pine Gardens,05,53,"BURG,NO FORCE,RESIDENTIAL"
170323193, 3/23/17,Th,21:00,21,Afternoon,2204,BURG,RB,114 WASSAW RD,COU,8120C,Olde Town/Buccaneer Trace/Wilmington Park,05,55,"BURG,NO FORCE,RESIDENTIAL"
170323194, 3/23/17,Th,21:39,21,Afternoon,2204,BURG,RB,112 HUNT CLUB CT,COU,3630X,Norwood Avenue/Wylly Island,05,56,"BURG,NO FORCE,RESIDENTIAL"
170320035, 3/20/17,Mo,07:27,07,Midnight,2301,LAR,PPS,2204 CAPITAL ST,SAVANNAH,2330B,Pine Gardens,05,53,"LARCENY,PICK POCKET"
170320157, 3/20/17,Mo,18:22,18,Afternoon,2303,LAR,SHPL,"1907 E VICTORY DR, SAV",SAVANNAH,3376X,Victory Square/Pinehurst,05,51,"LARCENY,SHOPLIFTING"
170323164, 3/23/17,Th,18:33,18,Afternoon,2303,LAR,SHPL,1955 E MONTGOMERY CROSSROADS,COUNTY,4726X,Sandfly,05,56,"LARCENY,SHOPLIFTING"
170323181, 3/23/17,Th,19:52,19,Afternoon,2303,LAR,SHPL,"1901 E VICTORY DR, SAV",SAVANNAH,3376X,Victory Square/Pinehurst,05,51,"LARCENY,SHOPLIFTING"
170323128, 3/23/17,Th,15:13,15,Day,2303,LAR,SHPL,1955 E MONTGOMERY CROSS RD,COU,4726X,Sandfly,05,56,"LARCENY,SHOPLIFTING"
170323094, 3/23/17,Th,13:14,13,Day,2303,LAR,SHPL,"1955 E MONTGOMERY CROSS RD, COU",COUNTY,4726X,Sandfly,05,56,"LARCENY,SHOPLIFTING"
170321093, 3/21/17,Tu,13:53,13,Day,2303,LAR,SHPL,"1955 E MONTGOMERY CROSS RD, COU",COUNTY,4726X,Sandfly,05,56,"LARCENY,SHOPLIFTING"
170322068, 3/22/17,We,11:53,11,Day,2303,LAR,SHPL,"1907 E VICTORY DR, SAV",SAVANNAH,3376X,Victory Square/Pinehurst,05,51,"LARCENY,SHOPLIFTING"
170325139, 3/25/17,Sa,18:56,18,Afternoon,2305,LAR,LA,8522 CRESTHILL AVE,COU,4747X,St. James Place,05,56,"LARCENY,ENTERING AUTO"
170319154, 3/19/17,Su,18:24,18,Afternoon,2305,LAR,LA,EISENHOWER DR/SALLIE MOOD DR,SAVANNAH,4610X,Parks/Sports Complexes,05,52,"LARCENY,ENTERING AUTO"
170320078, 3/20/17,Mo,12:51,12,Day,2305,LAR,LA,1915 E VICTORY DR,SAVANNAH,3376X,Victory Square/Pinehurst,05,51,"LARCENY,ENTERING AUTO"
